"","Species","MFU-52193-103-d1-1_S70","MFU-52193-1036-d1-1_S1","MFU-52193-1042-d1-1_S31","MFU-52193-1054-d1-1_S41","MFU-52193-1056-d1-1_S32","MFU-52193-1060-d1-1_S7","MFU-52193-1062-d10-1_S85","MFU-52193-1075-d5-1_S39","MFU-52193-1088-d5-1_S44","MFU-52193-112-d1-1_S27","MFU-52193-1153-d5-1_S10","MFU-52193-1155-d1-1_S66","MFU-52193-1169-d1-1_S59","MFU-52193-1189-d5-1_S36","MFU-52193-1233-d1-1_S28","MFU-52193-1245-d10-1_S82","MFU-52193-1249-d10-1_S90","MFU-52193-1251-d5-1_S56","MFU-52193-1257-d1-1_S45","MFU-52193-1263-d5-1_S34","MFU-52193-1269-d1-1_S23","MFU-52193-1293-d1-1_S53","MFU-52193-1313-d5-1_S60","MFU-52193-1340-d1-1_S58","MFU-52193-1355-d5-1_S20","MFU-52193-1367-d1-1_S8","MFU-52193-1379-d10-1_S74","MFU-52193-1388-d5-1_S24","MFU-52193-140-d10-1_S75","MFU-52193-1411-d5-1_S57","MFU-52193-1462-d1-1_S42","MFU-52193-1464-d1-1_S6","MFU-52193-1466-d1-1_S12","MFU-52193-1491-d1-1_S18","MFU-52193-1559-d1-1_S37","MFU-52193-1563-d1-1_S13","MFU-52193-1577-d1-1_S51","MFU-52193-160-d1-1_S35","MFU-52193-1698-d1-1_S54","MFU-52193-1771-d1-1_S2","MFU-52193-1775-d1-1_S9","MFU-52193-1784-d1-1_S64","MFU-52193-1796-d1-1_S15","MFU-52193-1847-d1-1_S4","MFU-52193-1857-d1-1_S50","MFU-52193-206-d1-1_S61","MFU-52193-255-d1-1_S49","MFU-52193-336-d1-1_S5","MFU-52193-350-d1-1_S63","MFU-52193-380-d10-1_S78","MFU-52193-392-d10-1_S81","MFU-52193-400-d10-1_S80","MFU-52193-431-d1-1_S19","MFU-52193-441-d5-1_S33","MFU-52193-443-d1-1_S22","MFU-52193-451-d1-1_S25","MFU-52193-469-d10-1_S72","MFU-52193-523-d1-1_S47","MFU-52193-562-d1-1_S68","MFU-52193-592-d10-1_S86","MFU-52193-610-d1-1_S43","MFU-52193-619-d1-1_S26","MFU-52193-621-d1-1_S62","MFU-52193-625-d1-1_S17","MFU-52193-627-d10-1_S84","MFU-52193-649-d10-1_S83","MFU-52193-661-d10-1_S76","MFU-52193-680-d10-1_S89","MFU-52193-698-d1-1_S48","MFU-52193-718-d5-1_S29","MFU-52193-744-d1-1_S30","MFU-52193-746-d5-1_S46","MFU-52193-791-d10-1_S77","MFU-52193-801-d5-1_S3","MFU-52193-825-d10-1_S79","MFU-52193-837-d5-1_S65","MFU-52193-876-d1-1_S52","MFU-52193-886-d1-1_S69","MFU-52193-890-d1-1_S11","MFU-52193-920-d1-1_S21","MFU-52193-960-d1-1_S38","MFU-52193-962-d5-1_S40","MFU-52193-964-d1-1_S55","MFU-52193-968-d1-1_S67"
"1","Diaphus theta",5737,18591,33278,5846,8885,38161,0,0,0,3586,0,0,0,0,3400,0,0,7102,3367,0,19570,21654,0,0,0,1623,0,0,0,0,0,0,1934,0,24109,6236,0,0,4767,0,0,0,2257,14174,318,0,10620,24352,5494,22602,1046,8033,111197,0,0,30691,0,3248,8133,0,5880,0,42823,23027,0,3654,0,0,0,0,41137,0,0,0,0,0,0,0,16312,23014,1831,0,0,18463
"2","Engraulis mordax",52123,6094,0,0,5227,40867,612,157,367801,0,219285,0,0,132809,0,0,0,194174,0,275568,0,0,65357,0,0,0,604,178018,0,232597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11573,0,24250,0,0,0,4373,0,0,39,5936,46044,0,1777,0,21290,0,2440,0,0
"3","Merluccius productus",2568,91133,53209,13181,0,0,219,0,0,98994,119,3704,0,0,0,261,0,0,691,0,0,191645,0,19403,2140,5137,0,10145,1598,2630,28737,0,0,0,82948,103312,0,0,9558,0,0,2757,11095,3268,4508,7155,99609,8903,57215,106426,1646,14927,4936,0,33,12387,0,83062,1562,128536,24,4157,99161,26699,935,0,0,0,3,0,7133,0,10285,27,0,0,1894,0,25611,63056,8122,4083,42475,1318
"4","Stenobrachius leucopsarus",36110,0,0,1958,9416,9753,0,0,0,0,0,52835,3028,0,0,0,0,0,873,0,0,0,0,17303,599,0,0,0,0,0,4749,0,7613,0,0,0,14902,1116,0,0,0,0,0,0,0,3944,4903,0,560,0,0,0,360,0,0,26966,0,2540,2462,0,4238,0,2178,0,0,0,0,380,1676,0,44768,0,0,0,0,0,1031,0,3570,49014,0,0,33968,0
"5","Tarletonbeania crenularis",2849,0,5923,4490,5605,9245,428,0,0,0,0,0,152,0,1986,0,604,0,7735,0,72604,89096,8117,0,329342,2752,47167,2588,0,3855,0,24449,24597,69872,0,0,57162,0,0,0,16416,0,0,1523,0,33032,0,22521,13457,0,0,0,0,0,0,24007,0,4679,6364,0,0,0,3647,604,122,0,0,0,0,755,1877,7466,0,0,0,216,0,0,5204,0,0,0,18344,1671
"6","Trachurus symmetricus",29744,6484,19903,2362,0,0,913,0,0,1500,0,0,0,68,0,0,0,2616,0,1801,0,0,34229,38214,5930,1084,9141,900,0,13680,0,0,0,0,0,0,0,893,0,0,6977,0,0,0,0,1635,0,0,1271,0,495,1617,630,2419,0,0,832,1054,0,5811,0,0,8550,22231,0,0,0,812,0,5899,17723,13106,0,171,0,713,0,7044,0,41872,1439,10613,0,1325
"7","Orcinus orca",0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Sardinops sagax",0,0,2390,0,0,0,404,0,288,0,254,0,4844,208,0,0,0,0,0,0,0,0,34587,0,0,0,0,256,0,1002,0,0,0,0,0,0,0,1644,0,0,0,0,0,0,0,0,0,4431,0,0,0,0,0,24603,6402,28761,0,1080,0,0,78,0,0,4551,28864,1112,1656,30537,0,33358,15478,84366,91308,92,3954,11144,0,16674,0,13574,0,566695,0,1269
"9","Scomber japonicus",0,0,2120,926,13539,38658,194,0,0,2428,0,0,0,0,0,0,0,0,0,6938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10525,0,0,598,0,0,0,0,1889,0,0,0,0,0,0,0,0,0,1413,0,765,15607,2521,0,0,0,0,0,161682,0,23229,0,1043,0,1693
"10","Sus scrofa",0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","Anoplopoma fimbria",0,0,0,2390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","Clupea pallasii",0,0,0,1721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49672,0,0,0,0,0,20620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4417,0,0,0,0,0,0,1859,0,0,0,0,0,0,40,0,0,0,0,0,0,3072,1206,0,0
"13","Lipolagus ochotensis",0,0,0,2087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17991,0,0,0,0,323,0,0,0,0,0,0,0,0,0,0,0,785,0,0,0,0,0,0,0,0,0,0,1101,0,0,0,0,0,0,11474,0,0,0,0,0,0,0,0,0,1246,0,0,0,0,4083,0,0,0,0,0,0,0,0,0,0,0,7744,0
"14","Nannobrachium regale",0,0,0,2094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3343,2960,0,0,0,0,0,531,0,0,0,1685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1695,0,0,0,0,0,0,0
"15","Nansenia candida",0,0,0,0,4629,13902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6226,4852,13471,2741,7217,0,0,0,434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","Tactostoma macropus",0,0,0,0,3562,6247,0,2153,4468,0,0,0,0,0,0,0,0,399,0,0,0,0,6927,0,641,0,1610,606,0,2082,0,2511,0,0,0,33707,0,0,0,0,0,0,0,0,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2739,0,0,0,0,0,0,0
"17","Citharichthys sordidus",0,0,0,0,0,0,2685,531,0,0,0,0,0,0,0,0,0,2285,0,2145,0,0,418178,0,636,0,511,4766,0,2615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1159,0,0,0,0,0,24464,0,0,0,0,0,0,4987,0,0,113173,0,1314,0,77505,7457,17013,0,686,0,0,1485,34414,0,0
"18","Cololabis saira",0,0,0,0,0,0,834,1122,0,0,0,0,0,7,0,0,0,259,0,1421,0,0,6324,0,0,0,747,0,0,4713,0,0,0,0,0,19763,0,0,0,0,0,0,0,0,0,0,0,0,1030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0
"19","Thunnus alalunga",0,0,0,0,0,0,0,0,10579,0,0,0,0,0,0,0,0,0,0,0,30056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,545,0,0,0,0,0,0
"20","Symbolophorus californiensis",0,0,0,0,0,0,0,0,0,0,4013,0,0,254,0,0,0,0,0,0,0,0,0,0,0,0,427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9672,0,0,0,0,0,0,0,0,0,1077,0,0,0,0,0,0,0,0,0,0,0,0,0,547,0,0,0,249,0,0,0,0,0,0,0,0
"21","Lampanyctus tenuiformis",0,0,0,0,0,0,0,0,0,0,0,3502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3966,3057,3853,0,0,0,0,0,0,9012,0,0,0,2999,1069,0,0,0,0,0,0,0,0,0,0,11476,0,0,1949,0,0,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4713,11795,0,0,0,0
"22","Citharichthys stigmaeus",0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,1798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4388,0,0,0,0,0,5030,0,0
"23","Icichthys lockingtoni",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2108,0,0,477,0,0,0,0,0,0,0,0,0,0,0,1275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,867,0,0,0,728,0,0,0,622,0,0,0,0,0,0,0,0
"24","Artedius fenestralis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","Oncorhynchus kisutch",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119804,0,1079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","Artedius harringtoni",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","Eschrichtius robustus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","Pleuronichthys coenosus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","Scorpaenichthys marmoratus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","Protomyctophum thompsoni",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1464,0,0,0,0,0,0,0,0,0,0,0,1392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","Chauliodus macouni",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27069,0,0,0,0,0,0,423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","Sagamichthys abei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19870,0,0,0,0,0,0,0,0,2274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3603,0,0,0,0,0,0,0
"33","Ophiodon elongatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","Cyclothone atraria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","Liparis fucensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13793,0,0,0,0
"36","Magnisudis atlantica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","Pseudobathylagus milleri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1397,0,0,3998,0,0,0,0,0,5528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9422,0,0,0,0,0
"38","Berardius bairdii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","Leuroglossus schmidti",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","Bathylagoides wesethi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","Anarrhichthys ocellatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","Eopsetta jordani",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","Trachipterus altivelis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","Hemilepidotus spinosus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","Hexagrammos decagrammus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","Balaenoptera physalus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0
"47","Plectobranchus evides",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1448,0,0,0
