Species_name,MFU-mock-even-d1-1_S64,MFU-mock-even-d1-2_S65,MFU-mock-even-d1-3_S66,MFU-mock-skewed-d1-1_S67,MFU-mock-skewed-d1-2_S68,MFU-mock-skewed-d1-3_S69
Clupea pallasii,31644,33083,18161,14027,56924,51275
Leuroglossus schmidti,11805,10704,7406,11090,43026,36009
Merluccius productus,11443,9901,7372,7421,30569,24137
Trachurus symmetricus,13450,11907,8642,4873,18596,14687
Thaleichthys pacificus,12800,11442,8076,4769,19014,15178
Oncorhynchus nerka,7771,6792,5017,4767,18583,15550
Engraulis mordax,15728,14094,10191,2107,8056,6169
Diogenichthys atlanticus,16545,15635,11023,940,3396,2327
Hippoglossus stenolepis,6799,5561,4513,1660,5892,4459
Sardinops sagax,2237,1993,1446,1024,4203,3216
Megaptera novaeangliae,465,362,356,595,2393,1406
Balaenoptera musculus,734,551,690,248,1026,583
Balaenoptera physalus,299,262,305,250,1100,706
Oncorhynchus tshawytscha,681,593,422,70,279,195
Balaenoptera acutorostrata,130,123,105,224,972,594
Globicephala macrorhynchus,554,411,367,37,76,52
Physeter catodon,111,127,132,109,561,360
Phocoena phocoena,143,113,102,113,454,301
Mesoplodon densirostris,320,285,344,36,109,79
Ziphius cavirostris,150,141,150,38,176,85
Phocoenoides dalli,117,61,74,45,165,91
Carcharodon carcharias,63,50,35,39,145,88
Orcinus orca,133,123,92,5,9,0
Peponocephala electra,74,65,48,0,72,29
Undefined,46,26,21,0,72,33
Delphinus spp.,23,18,12,11,26,14
Grampus griseus,16,14,13,9,36,15
Ceratoscopelus townsendi,13,12,11,7,38,17
Lipolagus ochotensis,0,10,9,6,28,27
NA,4,6,2,3,28,21
Thunnus albacares,5,2,7,0,0,0
Stenella coeruleoalba,0,9,0,0,0,0
Acanthocybium solandri,0,0,0,0,7,0
Lampanyctus tenuiformis,0,0,0,0,7,0
Microstomus pacificus,5,0,0,0,0,0
Ophiodon elongatus,2,0,3,0,0,0
Sebastes spp,5,0,0,0,0,0
Diaphus theta,0,0,2,0,0,0
Globicephala melas,0,2,0,0,0,0
Sebastes spp.,0,0,0,2,0,0