Species,Class,mtDNA_prop_skewed
Balaenoptera acutorostrata,Mammalia,0.023811611
Balaenoptera musculus,Mammalia,0.005197567
Balaenoptera physalus,Mammalia,0.007246056
Carcharodon carcharias,Chondrichthyes,0.062412198
Clupea pallasii,Actinopteri,0.227500016
Delphinus delphis,Mammalia,0.001359587
Diogenichthys atlanticus,Actinopteri,0.009365685
Engraulis mordax,Actinopteri,0.02363369
Globicephala macrorhynchus,Mammalia,0.005070436
Grampus griseus,Mammalia,0.0020732
Hippoglossus stenolepis,Actinopteri,0.017178986
Leuroglossus stilbius,Actinopteri,0.203076065
Megaptera novaeangliae,Mammalia,0.017125291
Merluccius productus,Actinopteri,0.100873678
Mesoplodon densirostris,Mammalia,0.001343851
Oncorhynchus nerka,Actinopteri,0.095617185
Oncorhynchus tshawytscha,Actinopteri,0.001659447
Orcinus orca,Mammalia,0
Peponocephala electra,Mammalia,0.004182999
Phocoena phocoena,Mammalia,0.018356776
Phocoenoides dalli,Mammalia,0.00599776
Physeter catodon,Mammalia,0.020136156
Sardinops sagax,Actinopteri,0.02312424
Thaleichthys pacificus,Actinopteri,0.079115007
Trachurus symmetricus,Actinopteri,0.042192912
Ziphius cavirostris,Mammalia,0.002349601