"qseqid","ssciname","pident"
"98f92aa12195301ebbd47287eb23c45cffe10ffa","Oncorhynchus tshawytscha","1"
"634d5f7afc94d10e6d910998135507f8cc696675","Oncorhynchus tshawytscha","1"
"7aa929fd12fc38856e105d3092ae8752af4b44da","Osphranter rufus","1"
"5665aa2e55ea5163208ff750699263c29c27098e","Stenobrachius leucopsarus","1"
"edfb918a1c15712aff3efaaa86f46d5ee129315e","Clupea pallasii","1"
"82d2ca5faea5bec0e9ddf893aea2b2399ae27e8f","Oncorhynchus nerka","1"
"b2220b6b1670d495c936dd53008e7ca257b5d6bc","Stenobrachius leucopsarus","1"
"db4bb6dc482c2a3648e325a2964ca1a2814a7d2f","Engraulis mordax","0.988"
"6e25e02ff4de015d1dd4f1a25d104890310d7d91","Artedius harringtoni","1"
"2491ffcd22c019c38661946d58a65159025d397d","Clupea pallasii","1"
"941de38457f3eae76bef716dcee28be997145559","Artedius harringtoni","1"
"f73b53947ba4f4022c11b6f53bd76b568a35cf84","Engraulis mordax","0.989"
"eedc937a4c6868cf6c77409e1133bf9188d7d9fc","Clupea pallasii","1"
"608960b8da9ff68e2efa11623e04234b0ec7d60b","Tursiops truncatus","1"
"c61b09b9e3bd289ce4a2e530d54ff53217504928","Sardinops sagax","1"
"8605ceee78ae0051e84cbb2ad016d5bc3ec5e9cb","Merluccius productus","1"
"a277b296e64675e0c9c06e9404423af6cc24d71a","Chitonotus pugetensis","1"
"02e4a86c119ca4b65e5b616135fa996aa2eb4372","Oncorhynchus kisutch","1"
"2388a63c66eb39c03c474a4d0c9d7b0d99782629","Sardinops sagax","1"
"8c6e1dc9cf052a3f21536460a743303cc188b81b","Cottus spp.",""
"d348c23013e4fa8ffe0fe3396d9f3451fe88db6b","Merluccius productus","1"
"77d9116a50958f69e026eea6c993a9d44bbc4ff0","Oncorhynchus kisutch","1"
"3a6a9122e22ef8cce1f5cb1d9da6fda8b3a157ef","Citharichthys sordidus","1"
"90ea3580ac4dbca98132b3ac7ef3c9fcf300ff51","Artedius fenestralis","0.994"
"b0bce780cd67e88dc9e76d8d726cfd2f5cfc5a1d","Artedius fenestralis","0.994"
"fe8e01e1080eac0ddd3ab3b57d749d9de0ee1fab","Leuroglossus schmidti","0.994"
"56b85a262e73a6e60ef0c6d33c4d23a70da33cc0","Sebastes spp.  ||  Sebastes alutus | Sebastes babcocki | Sebastes brevispinis | Sebastes elongatus | Sebastes emphaeus | Sebastes flavidus | Sebastes helvomaculatus | Sebastes melanops | Sebastes miniatus | Sebastes pinniger | Sebastes rosaceus | Sebastes ruberrimus | Sebastes zacentrus | Sebastes thompsoni | Sebastes joyneri | Sebastes inermis | Sebastes pachycephalus | Sebastes steindachneri | Sebastes taczanowskii | Sebastes aleutianus | Sebastes schlegelii | Sebastes proriger | Sebastes ventricosus | Sebastes nudus | Sebastes cheni | Sebastes baramenuke | Sebastes constellatus | Sebastes eos | Sebastes hubbsi | Sebastes longispinis | Sebastes oculatus | Sebastes owstoni | Sebastes phillipsi | Sebastes wakiyai | Sebastes wilsoni","1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1"
"9a69c3a268c7129726a4be25bfaacf024a80a18a","Oncorhynchus keta","1"
"6a2cd6fc4e4108d021c8b379a0712e9888431836","Tactostoma macropus","1"
"a637bf43d5e132d153855d8251665d935ea12a0b","Ophiodon elongatus","1"
"2d069d6128ed64aa351b164d45bf7f6f5387f663","Trachurus symmetricus","1"
"478dd98db3a0a5b681d314fcd6aa476db6e43489","Thaleichthys pacificus","1"
"588d28fb5bda80699518fa5eb07009f142c62aa6","Scomber japonicus","0.994"
"72d93a313d0244edae1cc9229ebd2525ddaec2ed","Merluccius productus","1"
"f3a80a1e9eaff2230ee09ea1b07fa5a0f39277e1","Citharichthys stigmaeus","1"
"fe251dac0c8406b0412dd9fb19122f8025a7f692","Osphranter rufus","1"
"57b8e6bb272d3b455e6af9bc845eab53580d2b01","Sebastes entomelas","1"
"87a3a870417e249a2623c627c336ba66e1b5527a","Tarletonbeania crenularis","1"
"76efe4aacef9d19b29eb515c2163486b08b4691a","Tactostoma macropus","1"
"b05eac0ae6bebbb0f133eb32789a54e3cb90ddbe","Cymatogaster aggregata","1"
"92e367352aeed8b876b13ae8130c0716d155ca1d","Microstomus pacificus","1"
"a36e764085f2df5057acd708a77653682db6a4fe","Nautichthys oculofasciatus","1"
"3d054ea4e3889c029fda834fab1ffd58a56baef1","Hexagrammos decagrammus","1"
"b945addeef9b0cbd4aa066d41d81519d5f7bebb8","Lumpenus sagitta","1"
"aa6ce908117326de02645020a33f408658c76d60","Diogenichthys atlanticus","1"
"8e445f971f8ba5281abd31b96174fc52fb9eb8a4","Pholis laeta","1"
"b6ef827691934a99b544e2b07b803ed0d6e12fbf","Homo sapiens","1"
"202fbc12ca243f5af6d80ef9fb8a47d52bb8fd5b","Hexagrammos decagrammus","1"
"f3b1b944f738536215cd355d76bc8c2bffd66624","Oncorhynchus mykiss","0.994"
"31adf9b0bfe620438b8e730fd474cc27e61c3cc4","Gasterosteus aculeatus","1"
"815465bf4218c40e60200ea518c5d7cbabd61f1c","Engraulis mordax","1"
"daa34294e48a59ab17cb5ff14fc2f2c72a6aa9f6","Oncorhynchus mykiss","0.994"
"6c49506da20cc547068ee28d02b3031d23916380","Tarletonbeania crenularis","1"
"ef6cede479f79d3fc46a42bacef3bb2430bab804","Clupea pallasii","0.994"
"1828062f7c59ec74511a61e06a73bf51d07637a2","Gallus gallus","1"
"fb959fffd2ff9552773d938f6c913e6213331861","Leptocottus armatus","1"
"fd29fea4657ee55d24729a8144cbfe6a63dc410e","Clupea pallasii","0.994"
"810a9a43ea3b63b86c5e1480c83a7492690654a5","Trachurus symmetricus","1"
"8eaa47f9ceccd67188f5b23ce0ad55a419f2706c","Leptocottus armatus","1"
"03ac9e716fe523c4c84442c146d5a142dbaec2b8","Hippoglossus spp.  ||  Hippoglossus hippoglossus | Hippoglossus stenolepis","1 | 1"
"ea9847d5bc11d3605576da20a103777bc1b8c807","Alosa sapidissima","1"
"696666d40b251713fca3655504ab24ad6a023f68","Artedius fenestralis","1"
"6bae4f40387f8d5d2558df5314c59e0f5e2557e4","Artedius fenestralis","1"
"bf18f174310a20bd32e549f1482a9b3ae5202d99","Enophrys bison","1"
"885a8f14568847b76f62b3ae3db8afbb23d933a8","Alosa sapidissima","1"
"30ff5ffa835ac9e0bc624106a571dca5fd89d309","Sebastes spp.  ||  Sebastes caurinus | Sebastes maliger","1 | 1"
"6f71fc5506fe04f9538b5b8a0f2582d6da7539a4","Oncorhynchus kisutch","0.994"
"d3a973efbba962488ffbf56a5faaec76ad1925a8","Sardinops sagax","1"
"7a3cd79f5f5aa22838cecef14cdd58de3a051b02","Scorpaenichthys marmoratus","1"
"191a0612d8ddff9212ba6e5f412063f5e10aa0ed","Sebastes mystinus","1"
"c3cc25b4ae73c4840cc5f9c16fbe16560eb47e4a","Oncorhynchus kisutch","0.994"
"42bfc6303f5db0be106ce97e8a0f9f0454bf9218","Anoplopoma fimbria","1"
"552f7ec9297f038ded895bef6caf81c00fc55bf1","Tursiops truncatus","1"
"1e2c6964d7d7aa5b5b0328a3f2a58c65ab9ab423","Oncorhynchus nerka","0.994"
"ba0715e8c59dd6203f0877bc7b055563ecd66e94","Oncorhynchus tshawytscha","0.994"
"bbb3bcc890abbefe2371f7ee55542ef8cb9debc9","Osphranter rufus","1"
"5b0bb764101ccfeb5228e44218865ac2f2a5d4be","Zalophus californianus","1"
"f7612efcc5304c28af27c31fddce4d740f073bc8","Clupea pallasii","1"
"c6d586dc78d8ef5cac238cba2d5714407775bd69","Bos taurus","1"
"8d89880e66c53dde2efff8ad329dc8a6d57149c4","Syngnathus leptorhynchus","1"
"0900d5804f14bbd88f7a315d4263ae42dd8fdfa0","Jordania zonope","1"
"05154443fa2b202297c6fc1cd577e42c1d7e1b29","Clupea pallasii","0.994"
"da50de6ceaee345143049d7f5f01e100404b243e","Spirinchus starksi","1"
"680038250c95f613907304f9b1488f3a9ab8794f","Oncorhynchus tshawytscha","0.994"
"a05b326fba2ac0a5599c7fd4f6a1b92f4db27785","Clupea pallasii","1"
"61c6feb9bb339c9ea649c171905ffef5d82d0eb8","Sebastes nebulosus","1"
"731f68d33fe001c6f1144ddd87449b2986f03e71","Clupea pallasii","1"
"56b2769e5e1b243156f4db29981ce5126d80e2c3","Clupea pallasii","0.994"
"f45e5611cabffd7c6aa0265033c70a755e7be4b5","Bryozoichthys lysimus | Chirolophis decoratus | Chirolophis nugator","1 | 1 | 0.988"
"5fb4e37154e6876ceacd6a6d488ed8b77125be2b","Hydrolagus colliei","1"
"8140a3cea89cdcb85ba042493579fe5a2e71a7b2","Clupea pallasii","0.994"
"6167ab846a9c3cf821114f61468d9817e857431b","Pholis spp.  ||  Pholis clemensi | Pholis crassispina | Pholis picta | Pholis fasciata","0.988 | 0.988 | 0.988 | 0.988"
"d334e2e1f793316fd22167642a71afbd66c78278","Hemilepidotus hemilepidotus","1"
"f58165a03d83170c45f1abbea86a652f8ba78a84","Oncorhynchus tshawytscha","1"
"9f443da9b965f45524b4f7074a58fcaec86db143","Synchirus gilli","1"
"758c788ac3c9a7995919508982de48b4915fc36b","Liparis pulchellus","1"
"988169d844c093b8d36f64ad55cf01a9a96cf571","Phocoena phocoena","1"
"8b904997120f04d84e0b0d64ce1c2f936a732213","Hexagrammos spp.  ||  Hexagrammos agrammus | Hexagrammos lagocephalus | Hexagrammos octogrammus | Hexagrammos stelleri","1 | 1 | 1 | 1"
"204b391bd9f03324fcb2244146c1e555ae0e3493","Embiotoca lateralis","1"
"6b969109eab25a7d8bdbef9709e18e47e4880382","Hydrolagus colliei","1"
"26b8aee14f20940c520351869c4b4188eff5b62f","Myoxocephalus spp.  ||  Myoxocephalus jaok | Myoxocephalus polyacanthocephalus | Myoxocephalus stelleri","1 | 1 | 1"
"a66623b3345bdd024dc28e9eb2335d75eb9d3b56","Oncorhynchus tshawytscha","0.994"
"0cf921ef977329911a0fb3d095c730f307895de2","Anoplarchus spp.  ||  Anoplarchus insignis | Anoplarchus purpurescens","1 | 1"
"bdec7d39fbcd494f3a69eeb45343a5e7adbbce2f","Clupea pallasii","0.994"
"7037767144816f0e8c3cac70d0598a5d9e555e74","Liparis florae","0.994"
"6fc5c253b29509064dc5f5149ff78d554fe3ce28","Clupea pallasii","0.994"
"f883a2180a1aff82465c58622705e96c81e6e51a","Xiphister spp.  ||  Xiphister atropurpureus | Xiphister mucosus","1 | 1"
"d39eb7b593aa1b531e1abb8b25878b24b21a8c72","Oncorhynchus tshawytscha","0.994"
"f9655c1c56f544c8769c103f6e85b547d4b64d07","Delphinus capensis | Delphinus delphis | Tursiops truncatus","1 | 1 | 1"
"939f21dd622a8ddcc3fe8b15ae02d3243795f237","Oncorhynchus tshawytscha","0.994"
"059c327da4cdb05ea2f4aab27961710fbf9c2678","Oncorhynchus tshawytscha","0.994"
"afb6e29d578074f7a4ffe420bed62b2babbaa2c1","Osphranter rufus","0.983"
"abe108805f44e0ddcae4920e614f16ceb4d69604","Undefined",""
"ea7f7fb8734a160949381badc10a971d64e3bd20","Thunnus alalunga","1"
"f6d66e93af306deefa8e30c7f8608dd893e257a0","Hemilepidotus hemilepidotus","1"
"24aa872290ba5387d642c3003435b9bedeae8739","Allosmerus elongatus","1"
"15903b34a9ddf3e5fac7751a3fb4553cba9c950a","Sebastes paucispinis","1"
"706fbda4bdc5135adccfb479df9c9192f01cabeb","Oncorhynchus tshawytscha","0.994"
"a0c97d9714dae11761abbba6ef50b77827229a1d","Oncorhynchus tshawytscha","0.994"
"e4d58eaddab0b4990385f6d9477687b318d3ff2b","Lycodopsis pacificus","1"
"5ee0eb112b86be2c81b6dedad6fca38508971d17","Oncorhynchus tshawytscha","0.994"
"8b2e4f40bde599b8d20d3b3167920f03f8060602","Undefined",""
"0b5e3076110a3fc7c8710e414851ea021954abb5","Gadus chalcogrammus","1"
"7a0c242fa219441720f0e2f4293e0c5bf96714b2","Anarrhichthys ocellatus","1"
"bfef209f5be3b6c62333e81a190835fe6f12c3a3","Cephalorhynchus heavisidii | Lagenorhynchus acutus | Stenella coeruleoalba","0.988 | 0.988 | 0.988"
"6883b08b43625f319ca261e061eb0539974e7f2d","Aulorhynchus flavidus","1"
"6550b5b6e2d8946269402c743a11baeffe8ce624","Isopsetta isolepis | Parophrys vetulus | Psettichthys melanostictus","1 | 1 | 1"
"2965805ccb82b01dc258805a98a461b8e1e4a000","Undefined",""
"98a70307f0d7a96eb106c0ed9a2e0273a664d2e9","Spirinchus starksi","0.994"
"f6c5e4f6ecd553f5028351d2fc1f4f1633cccb08","Tursiops truncatus","1"
"3b7bdcdeebcaa60a5e063b060d36f085adf35540","Oncorhynchus tshawytscha","0.988"
"e36e14bc12043a3b3536e04dd7d4985b2ad1100b","Orcinus orca | Stenella attenuata | Stenella clymene | Stenella coeruleoalba | Stenella longirostris","0.994 | 0.994 | 0.994 | 0.994 | 0.994"
"9282bffe9849302318ecbc2e3793145115d2eef8","Ascelichthys rhodorus","1"
"954269e4284b3e220696c7a3bba8403502a02c88","Gadus chalcogrammus","1"
"5bfd56df60ed30516c21d7cf6f25adb54668d6d4","Gobiesox maeandricus","1"
"a976895ca48936e6dc01517f8d61c69866f9f0a3","Oncorhynchus tshawytscha","0.994"
"2a13f2ff4053de99a3c4f70644daa7a1f5000aaa","Oncorhynchus tshawytscha","0.994"
"e605f34aa97f3133bd37018d290ae19b4c567d18","Balaenoptera musculus","1"
"14b56a23a27e8c55d1cbe3e3cfdfef66807e9f07","Undefined",""
"e194893b9864c8f141c099f4c785511ffdb54e1a","Undefined",""
"a210a55551b22693281313c8207fa9ce914b2340","Megaptera novaeangliae","1"
"350ded9d26c055525016fd2b6ecf1b5da56cc347","Undefined",""
"81a369ba094d9d03b2c0128b224f6007482165dc","Synchirus gilli","1"
"cd95a9d4b4b049792bb1cf2033b33c0dc30fef5d","Macropus giganteus","1"
"6b031c6660e41eb310cb12aeee649a05fc6bfcdd","Oncorhynchus tshawytscha","0.994"
"7d13ac008f466e45f812775fa8649a5eb0a5bde4","Stenella coeruleoalba","1"
"c8ee8103048d4dd115e8b63e3c89ffbf558ecb8c","Oncorhynchus tshawytscha","0.994"
"5ee2d711f2f9d3c1cd7ee6f15aeb738103f7ce68","Hexagrammos spp.  ||  Hexagrammos agrammus | Hexagrammos lagocephalus | Hexagrammos octogrammus | Hexagrammos stelleri","1 | 1 | 1 | 1"
"6cc508bee6b00a2f626f345efae969cc2e7413a2","Cephalorhynchus heavisidii | Stenella coeruleoalba","0.988 | 0.988"
"1f3935eac61189f961a5c47bb0e85272c0b96b3f","Liparis fucensis","1"
"f5116b9182caad71f5cbaac6d71670f6fe58206b","Oncorhynchus tshawytscha","0.994"
"7781e676bbcba714d33fad67ece970c3cf7d3e63","Clupea pallasii","0.994"
"0291af46ecd4335db6d084ee45b7148a950b1318","Clupea pallasii","0.994"
"ef1806d693ccd73a23ae42c44cb529603ff8839e","Oncorhynchus tshawytscha","0.994"
"d8fb722a3b16bed133e6431e32a1e2fcc7a9f62e","Undefined",""
"8e316c252f82da0ce42467422b056caf6a963ec4","Oncorhynchus tshawytscha","0.994"
"70f0932b5a845281c6337e418cb8af37b438adf3","Osphranter rufus","1"
"477008ea5342d811b30c72359548d9da592b2992","Oncorhynchus tshawytscha","0.994"
"77cd45c668fcdcad19807b3da188d79b6741129c","Hemilepidotus hemilepidotus","0.994"
"318f65a34f5abf48b0221bdf0e3d35277dd2af94","Oncorhynchus tshawytscha","0.994"
"08aeff2947a8b2e08cdf4f3170d1eda2ae0bca23","Oncorhynchus tshawytscha","0.994"
"d9e99aae5d59e4b3e2f3153e9f85b742a8de2f2e","Allosmerus elongatus","1"
"307ee70a01bbb407142b1ea3411d2eaac0de347e","Clupea pallasii","0.994"
"b4e61ad36fc2c03f18443dcb8faf5c0c278c423d","Clupea pallasii","0.994"
"3b3d992a1ca14c54865dd86132584857582f550a","Clupea pallasii","0.988"
"013da4a55a419348e5b80d3276fefbe4231ad77a","Oncorhynchus tshawytscha","0.994"
"fe98062cb751d037f7bf0b8d6258a47cbb77aa19","Blepsias cirrhosus","1"
"cadd99fd16d0b3734d7c946ca727fd6013c0ab6b","Undefined",""
"a16b01d5c1276d6c0b3807c1cba5adb5f899a588","Oncorhynchus tshawytscha","0.994"
"61ecc307f757a53dfc5afa25429c83653bbddb5b","Oncorhynchus tshawytscha","0.994"
"67dc36d6b4d896fc0e03faad86654e57c258be07","Oncorhynchus tshawytscha","0.994"
"25cf7b0ea4572ddd942439d2ac7486b20defdc49","Oncorhynchus tshawytscha","0.994"
"0276299aed42b15a69537bf20feff16cde471489","Eschrichtius robustus","1"
"b810f89f6bc68080a4f1ae9d784dc4052a38a35c","Gadus macrocephalus","1"
"de0569735fdf8e4e03e7c77f9b8d2626a26a457d","Oncorhynchus tshawytscha","0.994"
"357e395d8741bc837b0ce87c6f546bed5050733d","Lepidopsetta spp.  ||  Lepidopsetta bilineata | Lepidopsetta polyxystra","1 | 1"
"98f2eee5cc4142147dc10600148935080b4c2653","Balaenoptera physalus","1"
"c2233bd480b41e8296b8714576bac9c65cf918bd","Oncorhynchus tshawytscha","0.994"
"dccb0f4cff65b7637ae7e54ac70a9fbb1feddf3c","Oncorhynchus tshawytscha","0.994"
"12823741c559cd2f98e1908644d4a3068fa00fb3","Oncorhynchus tshawytscha","0.994"
"5a410d1fde05dbeb2c71dca738549a9f69b1f869","Globicephala macrorhynchus","1"
"35fef42e6929b9f73ec88e61c38ef13e4a27000c","Oncorhynchus tshawytscha","0.994"
"ac7e46954da11bea9acec9c70f789bb5cbf5f74a","Liparis florae","1"
"809ba4ddf6da071c2ad477c6cc8fe45f1904a356","Oncorhynchus tshawytscha","0.994"
"c9c48b5f462ccce8114d54f0d51233f0c269c725","Rhinogobiops nicholsii","1"
"87c8026b132f5e6899054a10d798518e11cc43ae","Oncorhynchus tshawytscha","0.994"
"64eecf14b5ef3e418a193a21d2c978890aeede33","Oncorhynchus tshawytscha","0.994"
"b5b5a36f6d4bca2c813e765378e0d018dd717ee7","Oncorhynchus tshawytscha","0.994"
"2f6dff0fe9ebddde4d6684e3878334920a9c2f4f","Sprattus sprattus","1"
"5cf7eb5fe031d778164353639b56aba6632dcaaf","Oncorhynchus tshawytscha","0.994"
"2fcbb7423f7b9c403d7c37b238094ebe6f11e347","Oncorhynchus tshawytscha","0.994"
"8e22552e59f541733aaca9de4c9d2940941b94d5","Apodichthys flavidus","1"
