Sample,Rep,Species,Reads,Prop,Gene,Primer,Taq,BSA,TD
C16.IPSF.1,1,Carcharodon carcharias,1517,0.050578468,16S,C16,IPSF,0,0
C16.IPSF.2,2,Carcharodon carcharias,2593,0.053704202,16S,C16,IPSF,0,0
C16.IPSF.3,3,Carcharodon carcharias,1608,0.063852599,16S,C16,IPSF,0,0
C16.NPHF.1,1,Carcharodon carcharias,8662,0.056331983,16S,C16,NPHF,0,0
C16.NPHF.2,2,Carcharodon carcharias,6420,0.047363995,16S,C16,NPHF,0,0
C16.NPHF.3,3,Carcharodon carcharias,8484,0.053187221,16S,C16,NPHF,0,0
C16.PGTF.1,1,Carcharodon carcharias,4711,0.072732045,16S,C16,PGTF,1,0
C16.PGTF.2,2,Carcharodon carcharias,2998,0.060158523,16S,C16,PGTF,1,0
C16.PGTF.3,3,Carcharodon carcharias,4755,0.072725326,16S,C16,PGTF,1,0
C16.QMMM.1,1,Carcharodon carcharias,249,0.07087959,16S,C16,QMMM,0,0
C16.QMMM.2,2,Carcharodon carcharias,204,0.08967033,16S,C16,QMMM,0,0
C16.QMMM.3,3,Carcharodon carcharias,346,0.069338677,16S,C16,QMMM,0,0
LRY.PGTF.1,1,Carcharodon carcharias,26186,0.094485177,COI,LRY,PGTF,1,0
LRY.PGTF.2,2,Carcharodon carcharias,25566,0.090437969,COI,LRY,PGTF,1,0
LRY.PGTF.3,3,Carcharodon carcharias,24227,0.08481388,COI,LRY,PGTF,1,0
LRY.QMMM.1,1,Carcharodon carcharias,9528,0.024444935,COI,LRY,QMMM,0,0
LRY.QMMM.2,2,Carcharodon carcharias,10665,0.027658841,COI,LRY,QMMM,0,0
LRY.QMMM.3,3,Carcharodon carcharias,5965,0.024227187,COI,LRY,QMMM,0,0
MFU.IPSF.1,1,Carcharodon carcharias,4,3.33E-05,12S,MFU,IPSF,0,0
MFU.IPSF.2,2,Carcharodon carcharias,2,1.70E-05,12S,MFU,IPSF,0,0
MFU.IPSF.3,3,Carcharodon carcharias,4,3.45E-05,12S,MFU,IPSF,0,0
MFU.IPSF.BSA.1,1,Carcharodon carcharias,5,4.44E-05,12S,MFU,IPSF,1,0
MFU.IPSF.BSA.2,2,Carcharodon carcharias,2,1.66E-05,12S,MFU,IPSF,1,0
MFU.IPSF.BSA.3,3,Carcharodon carcharias,0,0,12S,MFU,IPSF,1,0
MFU.IPSF.TD.1,1,Carcharodon carcharias,4,4.19E-05,12S,MFU,IPSF,0,1
MFU.IPSF.TD.2,2,Carcharodon carcharias,0,0,12S,MFU,IPSF,0,1
MFU.IPSF.TD.3,3,Carcharodon carcharias,0,0,12S,MFU,IPSF,0,1
MFU.NPHF.1,1,Carcharodon carcharias,62,0.000468589,12S,MFU,NPHF,0,0
MFU.NPHF.2,2,Carcharodon carcharias,69,0.000434944,12S,MFU,NPHF,0,0
MFU.NPHF.3,3,Carcharodon carcharias,65,0.000399727,12S,MFU,NPHF,0,0
MFU.NPHF.BSA.1,1,Carcharodon carcharias,73,0.000438123,12S,MFU,NPHF,1,0
MFU.NPHF.BSA.2,2,Carcharodon carcharias,53,0.000361144,12S,MFU,NPHF,1,0
MFU.NPHF.BSA.3,3,Carcharodon carcharias,38,0.000382002,12S,MFU,NPHF,1,0
MFU.NPHF.TD.1,1,Carcharodon carcharias,2,2.66E-05,12S,MFU,NPHF,0,1
MFU.NPHF.TD.2,2,Carcharodon carcharias,0,0,12S,MFU,NPHF,0,1
MFU.NPHF.TD.3,3,Carcharodon carcharias,0,0,12S,MFU,NPHF,0,1
MFU.PGTF.BSA.1,1,Carcharodon carcharias,189,0.001190244,12S,MFU,PGTF,1,0
MFU.PGTF.BSA.2,2,Carcharodon carcharias,154,0.001023038,12S,MFU,PGTF,1,0
MFU.PGTF.BSA.3,3,Carcharodon carcharias,255,0.001407751,12S,MFU,PGTF,1,0
MFU.PGTF.BSA.4,4,Carcharodon carcharias,0,0,12S,MFU,PGTF,1,0
MFU.PGTF.BSA.5,5,Carcharodon carcharias,5,5.62E-05,12S,MFU,PGTF,1,0
MFU.PGTF.BSA.6,6,Carcharodon carcharias,0,0,12S,MFU,PGTF,1,0
MFU.PGTF.1,1,Carcharodon carcharias,0,0,12S,MFU,PGTF,0,0
MFU.PGTF.2,2,Carcharodon carcharias,3,2.54E-05,12S,MFU,PGTF,0,0
MFU.PGTF.3,3,Carcharodon carcharias,2,1.80E-05,12S,MFU,PGTF,0,0
MFU.PGTF.TD.1,1,Carcharodon carcharias,17,0.000167534,12S,MFU,PGTF,0,1
MFU.PGTF.TD.2,2,Carcharodon carcharias,9,7.80E-05,12S,MFU,PGTF,0,1
MFU.PGTF.TD.3,3,Carcharodon carcharias,7,9.44E-05,12S,MFU,PGTF,0,1
MFU.QMMM.1,1,Carcharodon carcharias,0,0,12S,MFU,QMMM,0,0
MFU.QMMM.2,2,Carcharodon carcharias,0,0,12S,MFU,QMMM,0,0
MFU.QMMM.3,3,Carcharodon carcharias,3,2.76E-05,12S,MFU,QMMM,0,0
MFU.QMMM.BSA.1,1,Carcharodon carcharias,0,0,12S,MFU,QMMM,1,0
MFU.QMMM.BSA.2,2,Carcharodon carcharias,0,0,12S,MFU,QMMM,1,0
MFU.QMMM.BSA.3,3,Carcharodon carcharias,0,0,12S,MFU,QMMM,1,0
MFU.QMMM.BSA.4,4,Carcharodon carcharias,0,0,12S,MFU,QMMM,1,0
MFU.QMMM.BSA.5,5,Carcharodon carcharias,0,0,12S,MFU,QMMM,1,0
MFU.QMMM.BSA.6,6,Carcharodon carcharias,0,0,12S,MFU,QMMM,1,0
MFU.QMMM.TD.1,1,Carcharodon carcharias,48,0.000300869,12S,MFU,QMMM,0,1
MFU.QMMM.TD.2,2,Carcharodon carcharias,28,0.000226991,12S,MFU,QMMM,0,1
MFU.QMMM.TD.3,3,Carcharodon carcharias,48,0.00039888,12S,MFU,QMMM,0,1
MV1.IPSF.1,1,Carcharodon carcharias,5571,0.037368947,12S,MV1,IPSF,0,0
MV1.IPSF.2,2,Carcharodon carcharias,4056,0.029766404,12S,MV1,IPSF,0,0
MV1.IPSF.3,3,Carcharodon carcharias,2366,0.028586963,12S,MV1,IPSF,0,0
MV1.NPHF.1,1,Carcharodon carcharias,13284,0.084474799,12S,MV1,NPHF,0,0
MV1.NPHF.2,2,Carcharodon carcharias,11548,0.077925934,12S,MV1,NPHF,0,0
MV1.NPHF.3,3,Carcharodon carcharias,5945,0.077387693,12S,MV1,NPHF,0,0
MV1.NPHF.BSA.1,1,Carcharodon carcharias,13685,0.080402099,12S,MV1,NPHF,1,0
MV1.NPHF.BSA.2,2,Carcharodon carcharias,11384,0.082887973,12S,MV1,NPHF,1,0
MV1.NPHF.BSA.3,3,Carcharodon carcharias,10742,0.07398734,12S,MV1,NPHF,1,0
MV1.PGTF.1,1,Carcharodon carcharias,10229,0.060387985,12S,MV1,PGTF,1,0
MV1.PGTF.2,2,Carcharodon carcharias,7852,0.050952273,12S,MV1,PGTF,1,0
MV1.PGTF.3,3,Carcharodon carcharias,6014,0.046119986,12S,MV1,PGTF,1,0
MV1.PGTF.TD.1,1,Carcharodon carcharias,7680,0.045293167,12S,MV1,PGTF,1,1
MV1.PGTF.TD.2,2,Carcharodon carcharias,4866,0.045677703,12S,MV1,PGTF,1,1
MV1.PGTF.TD.3,3,Carcharodon carcharias,7676,0.051868019,12S,MV1,PGTF,1,1
MV1.QMMM.1,1,Carcharodon carcharias,2171,0.016227287,12S,MV1,QMMM,0,0
MV1.QMMM.2,2,Carcharodon carcharias,2511,0.014960855,12S,MV1,QMMM,0,0
MV1.QMMM.3,3,Carcharodon carcharias,1672,0.01495608,12S,MV1,QMMM,0,0
MV3.IPSF.1,1,Carcharodon carcharias,24429,0.110804191,16S,MV3,IPSF,0,0
MV3.IPSF.2,2,Carcharodon carcharias,3528,0.095926913,16S,MV3,IPSF,0,0
MV3.IPSF.3,3,Carcharodon carcharias,3034,0.09302183,16S,MV3,IPSF,0,0
MV3.NPHF.1,1,Carcharodon carcharias,16517,0.064506176,16S,MV3,NPHF,0,0
MV3.NPHF.2,2,Carcharodon carcharias,3266,0.051344935,16S,MV3,NPHF,0,0
MV3.NPHF.3,3,Carcharodon carcharias,8376,0.103573637,16S,MV3,NPHF,0,0
MV3.PGTF.1,1,Carcharodon carcharias,1932,0.028391306,16S,MV3,PGTF,1,0
MV3.PGTF.2,2,Carcharodon carcharias,5047,0.033287604,16S,MV3,PGTF,1,0
MV3.PGTF.3,3,Carcharodon carcharias,2000,0.025892649,16S,MV3,PGTF,1,0
MV3.PGTF.TD.1,1,Carcharodon carcharias,786,0.004868802,16S,MV3,PGTF,1,1
MV3.PGTF.TD.2,2,Carcharodon carcharias,470,0.005129996,16S,MV3,PGTF,1,1
MV3.PGTF.TD.3,3,Carcharodon carcharias,796,0.006695997,16S,MV3,PGTF,1,1
MV3.QMMM.1,1,Carcharodon carcharias,10129,0.039703196,16S,MV3,QMMM,0,0
MV3.QMMM.2,2,Carcharodon carcharias,4510,0.038817737,16S,MV3,QMMM,0,0
MV3.QMMM.3,3,Carcharodon carcharias,6726,0.050260043,16S,MV3,QMMM,0,0
C16.IPSF.1,1,Ceratoscopelus townsendi,4,0.000133364,16S,C16,IPSF,0,0
C16.IPSF.2,2,Ceratoscopelus townsendi,0,0,16S,C16,IPSF,0,0
C16.IPSF.3,3,Ceratoscopelus townsendi,0,0,16S,C16,IPSF,0,0
C16.NPHF.1,1,Ceratoscopelus townsendi,2,1.30E-05,16S,C16,NPHF,0,0
C16.NPHF.2,2,Ceratoscopelus townsendi,0,0,16S,C16,NPHF,0,0
C16.NPHF.3,3,Ceratoscopelus townsendi,0,0,16S,C16,NPHF,0,0
C16.PGTF.1,1,Ceratoscopelus townsendi,0,0,16S,C16,PGTF,1,0
C16.PGTF.2,2,Ceratoscopelus townsendi,0,0,16S,C16,PGTF,1,0
C16.PGTF.3,3,Ceratoscopelus townsendi,4,6.12E-05,16S,C16,PGTF,1,0
C16.QMMM.1,1,Ceratoscopelus townsendi,0,0,16S,C16,QMMM,0,0
C16.QMMM.2,2,Ceratoscopelus townsendi,0,0,16S,C16,QMMM,0,0
C16.QMMM.3,3,Ceratoscopelus townsendi,0,0,16S,C16,QMMM,0,0
LRY.PGTF.1,1,Ceratoscopelus townsendi,5,1.80E-05,COI,LRY,PGTF,1,0
LRY.PGTF.2,2,Ceratoscopelus townsendi,0,0,COI,LRY,PGTF,1,0
LRY.PGTF.3,3,Ceratoscopelus townsendi,0,0,COI,LRY,PGTF,1,0
LRY.QMMM.1,1,Ceratoscopelus townsendi,7,1.80E-05,COI,LRY,QMMM,0,0
LRY.QMMM.2,2,Ceratoscopelus townsendi,42,0.000108924,COI,LRY,QMMM,0,0
LRY.QMMM.3,3,Ceratoscopelus townsendi,14,5.69E-05,COI,LRY,QMMM,0,0
MFU.IPSF.1,1,Ceratoscopelus townsendi,5,4.17E-05,12S,MFU,IPSF,0,0
MFU.IPSF.2,2,Ceratoscopelus townsendi,10,8.49E-05,12S,MFU,IPSF,0,0
MFU.IPSF.3,3,Ceratoscopelus townsendi,11,9.48E-05,12S,MFU,IPSF,0,0
MFU.IPSF.BSA.1,1,Ceratoscopelus townsendi,10,8.88E-05,12S,MFU,IPSF,1,0
MFU.IPSF.BSA.2,2,Ceratoscopelus townsendi,10,8.32E-05,12S,MFU,IPSF,1,0
MFU.IPSF.BSA.3,3,Ceratoscopelus townsendi,7,6.68E-05,12S,MFU,IPSF,1,0
MFU.IPSF.TD.1,1,Ceratoscopelus townsendi,0,0,12S,MFU,IPSF,0,1
MFU.IPSF.TD.2,2,Ceratoscopelus townsendi,0,0,12S,MFU,IPSF,0,1
MFU.IPSF.TD.3,3,Ceratoscopelus townsendi,0,0,12S,MFU,IPSF,0,1
MFU.NPHF.1,1,Ceratoscopelus townsendi,4,3.02E-05,12S,MFU,NPHF,0,0
MFU.NPHF.2,2,Ceratoscopelus townsendi,23,0.000144981,12S,MFU,NPHF,0,0
MFU.NPHF.3,3,Ceratoscopelus townsendi,6,3.69E-05,12S,MFU,NPHF,0,0
MFU.NPHF.BSA.1,1,Ceratoscopelus townsendi,20,0.000120034,12S,MFU,NPHF,1,0
MFU.NPHF.BSA.2,2,Ceratoscopelus townsendi,14,9.54E-05,12S,MFU,NPHF,1,0
MFU.NPHF.BSA.3,3,Ceratoscopelus townsendi,15,0.00015079,12S,MFU,NPHF,1,0
MFU.NPHF.TD.1,1,Ceratoscopelus townsendi,0,0,12S,MFU,NPHF,0,1
MFU.NPHF.TD.2,2,Ceratoscopelus townsendi,0,0,12S,MFU,NPHF,0,1
MFU.NPHF.TD.3,3,Ceratoscopelus townsendi,0,0,12S,MFU,NPHF,0,1
MFU.PGTF.BSA.1,1,Ceratoscopelus townsendi,29,0.00018263,12S,MFU,PGTF,1,0
MFU.PGTF.BSA.2,2,Ceratoscopelus townsendi,18,0.000119576,12S,MFU,PGTF,1,0
MFU.PGTF.BSA.3,3,Ceratoscopelus townsendi,20,0.000110412,12S,MFU,PGTF,1,0
MFU.PGTF.BSA.4,4,Ceratoscopelus townsendi,11,8.55E-05,12S,MFU,PGTF,1,0
MFU.PGTF.BSA.5,5,Ceratoscopelus townsendi,6,6.74E-05,12S,MFU,PGTF,1,0
MFU.PGTF.BSA.6,6,Ceratoscopelus townsendi,3,3.52E-05,12S,MFU,PGTF,1,0
MFU.PGTF.1,1,Ceratoscopelus townsendi,9,9.64E-05,12S,MFU,PGTF,0,0
MFU.PGTF.2,2,Ceratoscopelus townsendi,10,8.47E-05,12S,MFU,PGTF,0,0
MFU.PGTF.3,3,Ceratoscopelus townsendi,5,4.51E-05,12S,MFU,PGTF,0,0
MFU.PGTF.TD.1,1,Ceratoscopelus townsendi,3,2.96E-05,12S,MFU,PGTF,0,1
MFU.PGTF.TD.2,2,Ceratoscopelus townsendi,0,0,12S,MFU,PGTF,0,1
MFU.PGTF.TD.3,3,Ceratoscopelus townsendi,5,6.75E-05,12S,MFU,PGTF,0,1
MFU.QMMM.1,1,Ceratoscopelus townsendi,9,5.84E-05,12S,MFU,QMMM,0,0
MFU.QMMM.2,2,Ceratoscopelus townsendi,0,0,12S,MFU,QMMM,0,0
MFU.QMMM.3,3,Ceratoscopelus townsendi,0,0,12S,MFU,QMMM,0,0
MFU.QMMM.BSA.1,1,Ceratoscopelus townsendi,27,5.74E-05,12S,MFU,QMMM,1,0
MFU.QMMM.BSA.2,2,Ceratoscopelus townsendi,28,6.28E-05,12S,MFU,QMMM,1,0
MFU.QMMM.BSA.3,3,Ceratoscopelus townsendi,39,7.74E-05,12S,MFU,QMMM,1,0
MFU.QMMM.BSA.4,4,Ceratoscopelus townsendi,0,0,12S,MFU,QMMM,1,0
MFU.QMMM.BSA.5,5,Ceratoscopelus townsendi,6,5.47E-05,12S,MFU,QMMM,1,0
MFU.QMMM.BSA.6,6,Ceratoscopelus townsendi,7,5.80E-05,12S,MFU,QMMM,1,0
MFU.QMMM.TD.1,1,Ceratoscopelus townsendi,0,0,12S,MFU,QMMM,0,1
MFU.QMMM.TD.2,2,Ceratoscopelus townsendi,0,0,12S,MFU,QMMM,0,1
MFU.QMMM.TD.3,3,Ceratoscopelus townsendi,2,1.66E-05,12S,MFU,QMMM,0,1
MV1.IPSF.1,1,Ceratoscopelus townsendi,3,2.01E-05,12S,MV1,IPSF,0,0
MV1.IPSF.2,2,Ceratoscopelus townsendi,4,2.94E-05,12S,MV1,IPSF,0,0
MV1.IPSF.3,3,Ceratoscopelus townsendi,0,0,12S,MV1,IPSF,0,0
MV1.NPHF.1,1,Ceratoscopelus townsendi,0,0,12S,MV1,NPHF,0,0
MV1.NPHF.2,2,Ceratoscopelus townsendi,0,0,12S,MV1,NPHF,0,0
MV1.NPHF.3,3,Ceratoscopelus townsendi,0,0,12S,MV1,NPHF,0,0
MV1.NPHF.BSA.1,1,Ceratoscopelus townsendi,0,0,12S,MV1,NPHF,1,0
MV1.NPHF.BSA.2,2,Ceratoscopelus townsendi,0,0,12S,MV1,NPHF,1,0
MV1.NPHF.BSA.3,3,Ceratoscopelus townsendi,2,1.38E-05,12S,MV1,NPHF,1,0
MV1.PGTF.1,1,Ceratoscopelus townsendi,0,0,12S,MV1,PGTF,1,0
MV1.PGTF.2,2,Ceratoscopelus townsendi,5,3.24E-05,12S,MV1,PGTF,1,0
MV1.PGTF.3,3,Ceratoscopelus townsendi,0,0,12S,MV1,PGTF,1,0
MV1.PGTF.TD.1,1,Ceratoscopelus townsendi,5,2.95E-05,12S,MV1,PGTF,1,1
MV1.PGTF.TD.2,2,Ceratoscopelus townsendi,0,0,12S,MV1,PGTF,1,1
MV1.PGTF.TD.3,3,Ceratoscopelus townsendi,0,0,12S,MV1,PGTF,1,1
MV1.QMMM.1,1,Ceratoscopelus townsendi,0,0,12S,MV1,QMMM,0,0
MV1.QMMM.2,2,Ceratoscopelus townsendi,0,0,12S,MV1,QMMM,0,0
MV1.QMMM.3,3,Ceratoscopelus townsendi,0,0,12S,MV1,QMMM,0,0
MV3.IPSF.1,1,Ceratoscopelus townsendi,3,1.36E-05,16S,MV3,IPSF,0,0
MV3.IPSF.2,2,Ceratoscopelus townsendi,0,0,16S,MV3,IPSF,0,0
MV3.IPSF.3,3,Ceratoscopelus townsendi,0,0,16S,MV3,IPSF,0,0
MV3.NPHF.1,1,Ceratoscopelus townsendi,4,1.56E-05,16S,MV3,NPHF,0,0
MV3.NPHF.2,2,Ceratoscopelus townsendi,3,4.72E-05,16S,MV3,NPHF,0,0
MV3.NPHF.3,3,Ceratoscopelus townsendi,0,0,16S,MV3,NPHF,0,0
MV3.PGTF.1,1,Ceratoscopelus townsendi,0,0,16S,MV3,PGTF,1,0
MV3.PGTF.2,2,Ceratoscopelus townsendi,3,1.98E-05,16S,MV3,PGTF,1,0
MV3.PGTF.3,3,Ceratoscopelus townsendi,0,0,16S,MV3,PGTF,1,0
MV3.PGTF.TD.1,1,Ceratoscopelus townsendi,0,0,16S,MV3,PGTF,1,1
MV3.PGTF.TD.2,2,Ceratoscopelus townsendi,0,0,16S,MV3,PGTF,1,1
MV3.PGTF.TD.3,3,Ceratoscopelus townsendi,0,0,16S,MV3,PGTF,1,1
MV3.QMMM.1,1,Ceratoscopelus townsendi,0,0,16S,MV3,QMMM,0,0
MV3.QMMM.2,2,Ceratoscopelus townsendi,10,8.61E-05,16S,MV3,QMMM,0,0
MV3.QMMM.3,3,Ceratoscopelus townsendi,0,0,16S,MV3,QMMM,0,0
C16.IPSF.1,1,Clupea pallasii,14708,0.490381089,16S,C16,IPSF,0,0
C16.IPSF.2,2,Clupea pallasii,22394,0.463807137,16S,C16,IPSF,0,0
C16.IPSF.3,3,Clupea pallasii,11782,0.467855299,16S,C16,IPSF,0,0
C16.NPHF.1,1,Clupea pallasii,51046,0.331969798,16S,C16,NPHF,0,0
C16.NPHF.2,2,Clupea pallasii,47687,0.351814144,16S,C16,NPHF,0,0
C16.NPHF.3,3,Clupea pallasii,57536,0.360700135,16S,C16,NPHF,0,0
C16.PGTF.1,1,Clupea pallasii,25004,0.386031001,16S,C16,PGTF,1,0
C16.PGTF.2,2,Clupea pallasii,20339,0.408126819,16S,C16,PGTF,1,0
C16.PGTF.3,3,Clupea pallasii,24800,0.379303489,16S,C16,PGTF,1,0
C16.QMMM.1,1,Clupea pallasii,1853,0.527469399,16S,C16,QMMM,0,0
C16.QMMM.2,2,Clupea pallasii,1064,0.467692308,16S,C16,QMMM,0,0
C16.QMMM.3,3,Clupea pallasii,2404,0.481763527,16S,C16,QMMM,0,0
LRY.PGTF.1,1,Clupea pallasii,1423,0.005134515,COI,LRY,PGTF,1,0
LRY.PGTF.2,2,Clupea pallasii,1347,0.00476492,COI,LRY,PGTF,1,0
LRY.PGTF.3,3,Clupea pallasii,1287,0.00450553,COI,LRY,PGTF,1,0
LRY.QMMM.1,1,Clupea pallasii,247,0.000633701,COI,LRY,QMMM,0,0
LRY.QMMM.2,2,Clupea pallasii,229,0.000593894,COI,LRY,QMMM,0,0
LRY.QMMM.3,3,Clupea pallasii,71,0.000288371,COI,LRY,QMMM,0,0
MFU.IPSF.1,1,Clupea pallasii,35959,0.299695795,12S,MFU,IPSF,0,0
MFU.IPSF.2,2,Clupea pallasii,40848,0.34671601,12S,MFU,IPSF,0,0
MFU.IPSF.3,3,Clupea pallasii,39161,0.33744356,12S,MFU,IPSF,0,0
MFU.IPSF.BSA.1,1,Clupea pallasii,34621,0.307498956,12S,MFU,IPSF,1,0
MFU.IPSF.BSA.2,2,Clupea pallasii,38432,0.319600832,12S,MFU,IPSF,1,0
MFU.IPSF.BSA.3,3,Clupea pallasii,34262,0.327089777,12S,MFU,IPSF,1,0
MFU.IPSF.TD.1,1,Clupea pallasii,40622,0.42518762,12S,MFU,IPSF,0,1
MFU.IPSF.TD.2,2,Clupea pallasii,30873,0.386923337,12S,MFU,IPSF,0,1
MFU.IPSF.TD.3,3,Clupea pallasii,29947,0.45761132,12S,MFU,IPSF,0,1
MFU.NPHF.1,1,Clupea pallasii,31629,0.239048612,12S,MFU,NPHF,0,0
MFU.NPHF.2,2,Clupea pallasii,41020,0.258571239,12S,MFU,NPHF,0,0
MFU.NPHF.3,3,Clupea pallasii,44368,0.27284747,12S,MFU,NPHF,0,0
MFU.NPHF.BSA.1,1,Clupea pallasii,44318,0.265982475,12S,MFU,NPHF,1,0
MFU.NPHF.BSA.2,2,Clupea pallasii,43267,0.294822699,12S,MFU,NPHF,1,0
MFU.NPHF.BSA.3,3,Clupea pallasii,23988,0.241143592,12S,MFU,NPHF,1,0
MFU.NPHF.TD.1,1,Clupea pallasii,33877,0.450905751,12S,MFU,NPHF,0,1
MFU.NPHF.TD.2,2,Clupea pallasii,39092,0.40912183,12S,MFU,NPHF,0,1
MFU.NPHF.TD.3,3,Clupea pallasii,54176,0.427896691,12S,MFU,NPHF,0,1
MFU.PGTF.BSA.1,1,Clupea pallasii,48763,0.307089193,12S,MFU,PGTF,1,0
MFU.PGTF.BSA.2,2,Clupea pallasii,47633,0.316431058,12S,MFU,PGTF,1,0
MFU.PGTF.BSA.3,3,Clupea pallasii,54785,0.302445622,12S,MFU,PGTF,1,0
MFU.PGTF.BSA.4,4,Clupea pallasii,42035,0.326876419,12S,MFU,PGTF,1,0
MFU.PGTF.BSA.5,5,Clupea pallasii,31125,0.349573773,12S,MFU,PGTF,1,0
MFU.PGTF.BSA.6,6,Clupea pallasii,29666,0.348294687,12S,MFU,PGTF,1,0
MFU.PGTF.1,1,Clupea pallasii,32807,0.351516126,12S,MFU,PGTF,0,0
MFU.PGTF.2,2,Clupea pallasii,38402,0.325178881,12S,MFU,PGTF,0,0
MFU.PGTF.3,3,Clupea pallasii,38133,0.343952664,12S,MFU,PGTF,0,0
MFU.PGTF.TD.1,1,Clupea pallasii,34915,0.344085068,12S,MFU,PGTF,0,1
MFU.PGTF.TD.2,2,Clupea pallasii,43616,0.377981143,12S,MFU,PGTF,0,1
MFU.PGTF.TD.3,3,Clupea pallasii,29002,0.391263289,12S,MFU,PGTF,0,1
MFU.QMMM.1,1,Clupea pallasii,51760,0.335933748,12S,MFU,QMMM,0,0
MFU.QMMM.2,2,Clupea pallasii,51216,0.36874694,12S,MFU,QMMM,0,0
MFU.QMMM.3,3,Clupea pallasii,38308,0.352490845,12S,MFU,QMMM,0,0
MFU.QMMM.BSA.1,1,Clupea pallasii,121306,0.257978763,12S,MFU,QMMM,1,0
MFU.QMMM.BSA.2,2,Clupea pallasii,121371,0.272332567,12S,MFU,QMMM,1,0
MFU.QMMM.BSA.3,3,Clupea pallasii,137377,0.272601538,12S,MFU,QMMM,1,0
MFU.QMMM.BSA.4,4,Clupea pallasii,34382,0.304688815,12S,MFU,QMMM,1,0
MFU.QMMM.BSA.5,5,Clupea pallasii,35358,0.322480026,12S,MFU,QMMM,1,0
MFU.QMMM.BSA.6,6,Clupea pallasii,36252,0.300619449,12S,MFU,QMMM,1,0
MFU.QMMM.TD.1,1,Clupea pallasii,58293,0.365386303,12S,MFU,QMMM,0,1
MFU.QMMM.TD.2,2,Clupea pallasii,44934,0.364271643,12S,MFU,QMMM,0,1
MFU.QMMM.TD.3,3,Clupea pallasii,42860,0.356166433,12S,MFU,QMMM,0,1
MV1.IPSF.1,1,Clupea pallasii,45059,0.302245088,12S,MV1,IPSF,0,0
MV1.IPSF.2,2,Clupea pallasii,46741,0.343025517,12S,MV1,IPSF,0,0
MV1.IPSF.3,3,Clupea pallasii,26567,0.320993173,12S,MV1,IPSF,0,0
MV1.NPHF.1,1,Clupea pallasii,41601,0.26454653,12S,MV1,NPHF,0,0
